"Наименование направления подготовки  ","Код","Всего (чел.)","в том числе бакалавриат","в том числе специалитет","в том числе магистратура",""
"Математика","01.03.01 01.04.01","64","20","0","44",""
"Прикладная математика и информатика","01.03.02 01.04.02","428","292","0","136",""
"Механика и математическое моделирование","01.03.03 01.04.03","71","46","0","25",""
"Математика и компьютерные науки","36952","167","167","0","0",""
"Фундаментальная информатика и информационные технологии","02.03.02 02.04.02","121","93","0","28",""
"Математическое обеспечение и администрирование информационных систем","37682","43","43","0","0",""
"Физика","03.03.02 03.04.02","434","317","0","117",""
"Радиофизика","03.03.03 03.04.03","219","175","0","44",""
"Химия","04.03.01 04.04.01","159","111","0","48",""
"Фундаментальная и прикладная химия","37015","245","0","245","0",""
"Геология","05.03.01 05.04.01","348","240","0","108",""
"География","05.03.02 05.04.02","213","167","0","46",""
"Гидрометеорология","05.03.04 05.04.04","180","138","0","42",""
"Экология и природопользование","05.03.06 05.04.06","431","320","0","111",""
"Биология","06.03.01 06.04.01","359","267","0","92",""
"Почвоведение","06.03.02 06.04.02","104","87","0","17",""
"Архитектура","07.03.01 07.04.01","214","174","0","40",""
"Реконструкция и реставрация архитектурного наследия","07.03.02 07.04.02","86","70","0","16",""
"Дизайн архитектурной среды","07.03.03 07.04.03","109","93","0","16",""
"Строительство","08.03.01 08.04.01","1988","1557","0","431",""
"Строительство уникальных зданий и сооружений","37019","278","0","278","0",""
"Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей","37749","26","0","26","0",""
"Информатика и вычислительная техника","09.03.01 09.04.01","799","592","0","207",""
"Информационные системы и технологии","09.03.02 09.04.02","421","340","0","81",""
"Прикладная информатика","09.03.03 09.04.03","353","273","0","80",""
"Программная инженерия","09.03.04 09.04.04","392","323","0","69",""
"Информационная безопасность","36960","104","104","0","0",""
"Компьютерная безопасность","37021","100","0","100","0",""
"Информационная безопасность телекоммуникационных систем","37386","136","0","136","0",""
"Информационная безопасность автоматизированных систем","37751","118","0","118","0",""
"Информационно-аналитические системы безопасности","38117","121","0","121","0",""
"Радиотехника","11.03.01 11.04.01","390","257","0","133",""
"Инфокоммуникационные технологии и системы связи","37326","321","321","0","0",""
"Конструирование и технологии электронных средств","37691","222","222","0","0",""
"Электроника и наноэлектроника","11.03.04 11.04.04","651","478","0","173",""
"Информационные технологии и системы связи","37357","104","0","0","104",""
"Радиоэлектронные системы и комплексы","37022","379","0","379","0",""
"Приборостроение","12.03.01 12.04.01","256","166","0","90",""
"Оптотехника","12.03.02 12.04.02","178","126","0","52",""
"Фотоника и оптоинформатика","12.03.03 12.04.03","147","104","0","43",""
"Биотехнические системы и технологии","12.03.04 12.04.04","95","67","0","28",""
"Лазерная техника и лазерные технологии","38423","25","25","0","0",""
"Теплоэнергетика и теплотехника","13.03.01 13.04.01","342","227","0","115",""
"Электроэнергетика и электротехника","13.03.02 13.04.02","1356","957","0","399",""
"Энергетическое машиностроение","13.03.03 13.04.03","124","81","0","43",""
"Ядерные физика и технологии","14.03.02 14.04.02","460","330","0","130",""
"Атомные станции: проектирование, эксплуатация и инжиниринг","37390","187","0","187","0",""
"Электроника и автоматика физических установок","38121","307","0","307","0",""
"Машиностроение","15.03.01 15.04.01","365","263","0","102",""
"Технологические машины и оборудование","37330","84","84","0","0",""
"Прикладная механика","15.03.03 15.04.03","129","95","0","34",""
"Автоматизация технологических процессов и производств","15.03.04 15.04.04","216","199","0","17",""
"Конструкторско-технологическое обеспечение машиностроительных производств","15.03.05 15.04.05","60","20","0","40",""
"Мехатроника и робототехника","15.03.06 15.04.06","274","214","0","60",""
"Техническая физика","16.03.01 16.04.01","195","122","0","73",""
"Высокотехнологические плазменные и энергетические установки","37331","17","17","0","0",""
"Химическая технология","18.03.01 18.04.01","444","268","0","176",""
"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии","18.03.02 18.04.02","199","146","0","53",""
"Химическая технология материалов современной энергетики","37394","303","0","303","0",""
"Биотехнология","19.03.01 19.04.01","102","72","0","30",""
"Техносферная безопасность","20.03.01 20.04.01","412","354","0","58",""
"Природообустройство и водопользование","20.03.02 20.04.02","61","30","0","31",""
"Нефтегазовое дело","21.03.01 21.04.01","865","581","0","284",""
"Землеустройство и кадастры","21.03.02 21.04.02","267","248","0","19",""
"Прикладная геология","37397","248","0","248","0",""
"Технология геологической разведки","37762","216","0","216","0",""
"Материаловедение и технологии материалов","22.03.01 22.04.01","175","100","0","75",""
"Наземные транспортно-технологические комплексы","37338","185","185","0","0",""
"Эксплуатация транспортно-технологических машин и комплексов","37703","213","213","0","0",""
"Наземные транспортно-технологические средства","37034","133","0","133","0",""
"Баллистика и гидроаэродинамика","24.03.03 24.04.03","49","43","0","6",""
"Техническая эксплуатация транспортного радиооборудования","37766","41","0","41","0",""
"Стандартизация и метрология","27.03.01 27.04.01","48","22","0","26",""
"Управление качеством","27.03.02 27.04.02","267","209","0","58",""
"Системный анализ и управление","37707","97","97","0","0",""
"Управление в технических системах","27.03.04 27.04.04","255","152","0","103",""
"Инноватика","27.03.05 27.04.05","344","216","0","128",""
"Нанотехнологии и микросистемная техника","36978","81","81","0","0",""
"Технология художественной обработки материалов","38075","22","22","0","0",""
"Медицинская биохимия","37041","233","0","233","0",""
"Медицинская биофизика","37406","101","0","101","0",""
"Медицинская кибернетика","37771","138","0","138","0",""
"Лечебное дело","37042","2186","0","2186","0",""
"Педиатрия","37407","769","0","769","0",""
"Стоматология","37772","268","0","268","0",""
"Фармация","33.05.01","487","0","487","0",""
"Лесное дело","35.03.01 35.04.01","65","58","0","7",""
"Технология лесозаготовительных и деревоперерабатывающих производств","35.03.02","68","68","0","0",""
"Агрономия","35.03.04 35.04.04","123","100","0","23",""
"Технология производства и переработки сельскохозяйственной продукции","35.03.07","66","66","","",""
"Ландшафтная архитектура","35.03.10 35.04.09","49","44","0","5",""
"Агроинженерия","35.03.06","62","62","","",""
"Зоотехния","36.03.02","52","52","","",""
"Ветеринария","36.05.01","67","","67","",""
"Психология","37.03.01 37.04.01","127","88","0","39",""
"Клиническая психология","37.05.01","322","0","322","0",""
"Экономика","38.03.01 38.04.01","990","852","0","138",""
"Менеджмент","38.03.02 38.04.02","987","806","0","181",""
"Управление персоналом","38.03.03 38.04.03","203","171","0","32",""
"Государственное и муниципальное управление","38.03.04 38.04.04","334","302","0","32",""
"Бизнес-информатика","38.03.05 38.04.05","90","78","0","12",""
"Торговое дело","38.03.06","17","17","0","0",""
"Финансы и кредит","38.04.08  080105","47","0","0","47",""
"Экономическая безопасность","38.05.01","448","0","448","0",""
"Таможенное дело","38.05.02","47","0","47","0",""
"Социология","39.03.01 39.04.01","84","63","0","21",""
"Социальная работа","39.03.02 39.04.02","216","184","0","32",""
"Организация работы с молодежью","39.03.03 39.04.03","229","212","0","17",""
"Юриспруденция","40.03.01 40.04.01","1646","1463","0","183",""
"Зарубежное регионоведение","41.03.01 41.04.01","149","135","0","14",""
"Регионоведение России","41.03.02 41.04.02","37","13","0","24",""
"Политология","41.03.04 41.04.04","87","63","0","24",""
"Международные отношения","41.03.05 41.04.05","262","227","0","35",""
"Реклама и связи с общественностью","42.03.01 42.04.01","206","158","0","48",""
"Журналистика","42.03.02 42.04.02","253","203","0","50",""
"Издательское дело","42.03.03 42.04.03","64","55","0","9",""
"Сервис","43.03.01","118","118","0","0",""
"Туризм","43.03.02","16","16","0","0",""
"Педагогическое образование","44.03.01 44.04.01","673","173","0","500",""
"Психолого-педагогическое образование","44.03.02  44.04.02","382","221","0","161",""
"Специальное (дефектологическое) образование","44.03.03 44.04.03","118","98","0","20",""
"Профессиональное обучение  (по отраслям) ","44.03.04 44.04.04","181","155","0","26",""
"Педагогическое образование (с двумя профилями подготовки)","44.03.05","1329","1329","0","0",""
"Педагогика и психология девиантного поведения","44.05.01","92","0","92","0",""
"Филология","45.03.01 45.04.01","272","204","0","68",""
"Лингвистика","45.03.02 45.04.02","316","250","0","66",""
"Фундаментальная и прикладная лингвистика","45.03.03 45.04.03","110","102","0","8",""
"Перевод и переводоведение","45.05.01","439","0","439","0",""
"История","46.03.01 46.04.01","252","200","0","52",""
"Документоведение и архивоведение","46.03.02 46.04.02","85","74","0","11",""
"Антропология и этнология","46.03.03 46.04.03","44","27","0","17",""
"Философия","47.03.01 47.04.01","165","104","0","61",""
"Религиоведение","47.04.03","22","0","0","22",""
"Физическая культура","49.03.01 49.04.01","150","93","0","57",""
"Рекреация и спортивно-оздоровительный туризм","49.03.03","46","46","0","0",""
"Культурология","51.03.01 51.04.01","94","74","0","20",""
"Народная художественная культура","51.03.02 51.04.02","31","3","0","28",""
"Музеология и охрана объектов культурного и природного наследия","51.03.04 51.04.04","39","33","0","6",""
"Библиотечно-информационная деятельность","51.03.06","33","33","0","0",""
"Литературное творчество","52.05.04","29","0","29","0",""
"Искусство концертного исполнительства","53.05.01","18","0","18","0",""
"Художественное руководство симфоническим оркестром и академическим хором","53.05.02","25","0","25","0",""
"Музыкально-театральное искусство","53.05.04","12","0","12","0",""
"Дизайн","54.03.01 54.04.01","158","142","0","16",""
"Графика","54.05.03","27","0","27","0",""
" Итого","","37597","22448","8546","6593",""
